"sample","iM","Val"
"p1k_00016","CpxR",-8.55621908788484
"p1k_00431","CpxR",-8.4044529341923
"p1k_00468","CpxR",-9.47071032686974
"p1k_00064","CpxR",-5.83345431910218
"p1k_00377","CpxR",-5.8591926959004
"p1k_00268","CpxR",-6.26152997502133
"p1k_00153","CpxR",-5.9256944667174
"p1k_00509","CpxR",-5.68381050208381
"p1k_00971","CpxR",-6.0126122128954
"starve_series__t28_growth2","CpxR",-5.93570880768516
"p1k_00389","CpxR",-6.44338076890054
"p1k_00245","CpxR",-6.19871186395406
"p1k_00678","CpxR",-8.9945282147046
"p1k_00924","CpxR",-5.41038217048861
"p1k_00968","CpxR",-6.29812468878086
"p1k_00617","CpxR",-6.18698038023711
"p1k_00103","CpxR",-9.10061554292651
"p1k_00123","CpxR",-6.0587957698796
"p1k_00017","CpxR",-8.99286275621518
"p1k_00253","CpxR",-6.08652320482611
"p1k_00781","CpxR",-9.57449685854887
"p1k_00895","CpxR",-5.78260823251224
"p1k_00625","CpxR",-9.09999729033583
"p1k_00919","CpxR",-5.75223900657556
"p1k_00061","CpxR",-9.31446535340039
"p1k_01000","CpxR",-6.00260714877768
"p1k_00433","CpxR",-9.83481091724204
"p1k_00032","CpxR",-5.6793494016423
"p1k_00133","CpxR",-10.0078407092263
"p1k_00094","CpxR",-5.74677298474334
"p1k_00362","CpxR",-9.87325329094825
"p1k_00970","CpxR",-6.20335713686797
"p1k_00182","CpxR",-8.9285387458805
"p1k_00429","CpxR",-10.0589484325458
"p1k_00723","CpxR",-9.41319513359048
"p1k_00829","CpxR",-8.90002128590005
"p1k_00735","CpxR",-8.08499293515915
"p1k_00583","CpxR",-9.02609814128027
"starve_series__t07_starve","CpxR",-9.35083416840961
"p1k_00876","CpxR",-6.38187732582193
"p1k_00837","CpxR",-5.47074826759294
"p1k_00544","CpxR",-9.37578307505101
"p1k_00728","CpxR",-9.66392016023234
"p1k_00401","CpxR",-7.59699380661216
"p1k_00241","CpxR",-6.14614104578171
"p1k_00771","CpxR",-8.76395993530346
"p1k_00441","CpxR",-6.40707238358146
"p1k_00848","CpxR",-5.58146176233921
"p1k_00348","CpxR",-6.43159362043153
"p1k_00198","CpxR",-6.74096583164316
"p1k_00287","CpxR",-6.34599440910949
"p1k_00663","CpxR",-6.40378451380788
