"sample","iM","Val"
"p1k_00098","Fatty Acid",-2.84173463771943
"p1k_00130","Fatty Acid",-6.42021640338319
"p1k_00786","Fatty Acid",-6.42021640338319
"p1k_00962","Fatty Acid",-3.90471794975324
"p1k_00258","Fatty Acid",-4.25522871907072
"p1k_00644","Fatty Acid",-4.10757120565687
"p1k_00390","Fatty Acid",-6.42021640338319
"p1k_00131","Fatty Acid",-6.42021640338319
"p1k_00313","Fatty Acid",-6.42021640338319
"p1k_00437","Fatty Acid",-6.42021640338319
"p1k_00063","Fatty Acid",-2.81068935349154
"p1k_01023","Fatty Acid",-2.87383302385647
"p1k_00615","Fatty Acid",-3.72647752695505
"p1k_00876","Fatty Acid",-3.27407835933623
"p1k_00851","Fatty Acid",-1.93766555106315
"p1k_00267","Fatty Acid",-5.00019823545034
"starve_series__t11_starve","Fatty Acid",-1.89293785083298
"p1k_01019","Fatty Acid",-3.87206788825851
"p1k_00495","Fatty Acid",-3.86051690250818
"p1k_00179","Fatty Acid",-3.31464065171332
"p1k_00846","Fatty Acid",-4.33040771985883
"p1k_00085","Fatty Acid",-3.21357932074023
"p1k_00459","Fatty Acid",-3.40946366446195
"p1k_00689","Fatty Acid",-3.7137128250401
"p1k_00527","Fatty Acid",-5.12626570359329
"p1k_00792","Fatty Acid",-5.46443736361413
"p1k_00123","Fatty Acid",-4.54825406369355
"p1k_00304","Fatty Acid",-4.57827874062941
"p1k_00827","Fatty Acid",-6.42021640338319
"p1k_00325","Fatty Acid",-6.42021640338319
"p1k_00303","Fatty Acid",-4.71296625310991
"p1k_00649","Fatty Acid",-3.78682613932662
"p1k_00749","Fatty Acid",-6.42021640338319
"p1k_00234","Fatty Acid",-2.79175607675723
"p1k_00001","Fatty Acid",-4.22778463513079
"p1k_00245","Fatty Acid",-3.44687163306993
"p1k_00323","Fatty Acid",-6.42021640338319
"p1k_00091","Fatty Acid",-4.65357918898521
"p1k_00358","Fatty Acid",-4.3970044146209
"starve_series__t09_starve","Fatty Acid",-1.91914334369182
"p1k_00207","Fatty Acid",-4.34825939151318
"p1k_00623","Fatty Acid",-3.35735928778792
"p1k_00838","Fatty Acid",-1.49747016193857
"p1k_00326","Fatty Acid",-6.42021640338319
"p1k_00588","Fatty Acid",-4.25069352697564
"p1k_00238","Fatty Acid",-2.76723680420609
"p1k_00061","Fatty Acid",-3.88945290700354
"p1k_00124","Fatty Acid",-4.50071654614743
"p1k_00439","Fatty Acid",-6.42021640338319
"p1k_00015","Fatty Acid",-4.40390790448803
"p1k_00453","Fatty Acid",-5.2255357976534
"p1k_00794","Fatty Acid",-4.28723722609765
