,looks_good,checked,include,force_rerun,sanity_plots,act_iM,inh_iM,basal_conditions,grid_use,basal_bool,basal_or_hard_val,hard_val,use_zerod_A_matrix,initial_guess_ratio,use_target_range,target_range,base_cInhibitor_val,base_cActivator_val,auto_set_max_range,additional_tolerance,cActivator,cInhibitor,run_greedy,neg_grid_toss_OR_zero,seed,n_ind,mu,lambda_,cxpb,cx_prob,mutpb,mt_prob,n_gen,verbose,n_iter,max_steps,n_rounds
b3126,-1,TRUE,FALSE,FALSE,TRUE,Sugar Diacid,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.05,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1080,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1081,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1878,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1879,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1880,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1904,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1937,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1938,-1,TRUE,FALSE,FALSE,TRUE,FlhDC-2,,['p1k_00906'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1939,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1940,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1944,-1,TRUE,FALSE,FALSE,TRUE,FlhDC-2,,['p1k_00906'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1945,-1,TRUE,FALSE,FALSE,TRUE,FlhDC-2,,['p1k_00906'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1946,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1947,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1948,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1949,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1950,1,TRUE,TRUE,FALSE,TRUE,FlhDC-2,FlhDC-1,['p1k_00565'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0895,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0896,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0903,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1588,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1589,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1590,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2729,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2730,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4122,1,TRUE,TRUE,FALSE,TRUE,Fnr-1,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0150,1,TRUE,TRUE,FALSE,TRUE,Fur-2,,['p1k_00337'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0151,1,TRUE,TRUE,FALSE,TRUE,Fur-2,,['p1k_00337'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0152,1,TRUE,TRUE,FALSE,TRUE,Fur-2,,['p1k_00337'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0153,-1,TRUE,FALSE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0585,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0588,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0589,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0590,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0591,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0592,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1252,1,TRUE,TRUE,FALSE,TRUE,Fur-2,,['p1k_00337'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3005,1,TRUE,TRUE,FALSE,TRUE,Fur-2,,['p1k_00337'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3006,1,TRUE,TRUE,FALSE,TRUE,Fur-2,,['p1k_00337'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4511,1,TRUE,TRUE,FALSE,TRUE,Fur-2,Fur-1,['p1k_00358'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0809,-1,TRUE,FALSE,FALSE,TRUE,Glutamine,,['p1k_00848'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2062,1,TRUE,TRUE,FALSE,TRUE,Capsule,,['p1k_00540'],7,FALSE,basal,10,TRUE,0.01,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0811,-1,TRUE,FALSE,FALSE,TRUE,Glutamine,,['p1k_00848'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1798,1,TRUE,TRUE,FALSE,TRUE,Lrp,,['p1k_00273'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2209,1,TRUE,TRUE,FALSE,TRUE,Lrp,,['p1k_00273'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2845,1,TRUE,TRUE,FALSE,TRUE,Lrp,,['p1k_00273'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3673,1,TRUE,TRUE,FALSE,TRUE,Lrp,,['p1k_00273'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0166,1,TRUE,TRUE,FALSE,TRUE,Lysine/T2SS,,['p1k_00367'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2156,1,TRUE,TRUE,FALSE,TRUE,Lysine/T2SS,,['p1k_00367'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2254,1,TRUE,TRUE,FALSE,TRUE,BasR,,['p1k_00856'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0841,1,TRUE,TRUE,FALSE,TRUE,Magnesium,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1130,1,TRUE,TRUE,FALSE,TRUE,Magnesium,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1608,1,TRUE,TRUE,FALSE,TRUE,Magnesium,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1609,1,TRUE,TRUE,FALSE,TRUE,Magnesium,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3571,1,TRUE,TRUE,FALSE,TRUE,Maltose,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3127,-1,TRUE,FALSE,FALSE,TRUE,Sugar Diacid,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.05,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3128,-1,TRUE,FALSE,FALSE,TRUE,Sugar Diacid,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.05,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4035,-1,TRUE,FALSE,FALSE,TRUE,Maltose,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4036,-1,TRUE,FALSE,FALSE,TRUE,Maltose,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4037,-1,TRUE,FALSE,FALSE,TRUE,Maltose,,['p1k_00368'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0198,1,TRUE,TRUE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0199,1,TRUE,TRUE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2942,-1,TRUE,FALSE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3008,1,TRUE,TRUE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3828,-1,TRUE,FALSE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3941,-1,TRUE,FALSE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4013,-1,TRUE,FALSE,FALSE,TRUE,Methionine,,['starve_series__t11_starve'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0644,1,TRUE,TRUE,FALSE,TRUE,Nitrogen,,['p1k_00848'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3043,1,TRUE,TRUE,FALSE,TRUE,Nitrogen,,['p1k_00848'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0475,1,TRUE,TRUE,FALSE,TRUE,OxyR,,['p1k_00821'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0605,1,TRUE,TRUE,FALSE,TRUE,OxyR,,['p1k_00821'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0606,1,TRUE,TRUE,FALSE,TRUE,OxyR,,['p1k_00821'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b1749,1,TRUE,TRUE,FALSE,TRUE,OxyR,,['p1k_00821'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b2436,1,TRUE,TRUE,FALSE,TRUE,OxyR,,['p1k_00821'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3942,1,TRUE,TRUE,FALSE,TRUE,OxyR,,['p1k_00821'],8,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0399,1,TRUE,TRUE,FALSE,TRUE,Phosphate-1,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3724,1,TRUE,TRUE,FALSE,TRUE,Phosphate-1,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3725,1,TRUE,TRUE,FALSE,TRUE,Phosphate-1,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3726,1,TRUE,TRUE,FALSE,TRUE,Phosphate-1,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3727,1,TRUE,TRUE,FALSE,TRUE,Phosphate-1,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3728,1,TRUE,TRUE,FALSE,TRUE,Phosphate-1,,['p1k_00365'],7,FALSE,basal,10,TRUE,0.1,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b0400,1,TRUE,TRUE,FALSE,TRUE,Phosphate-2,,['p1k_00864'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b3452,1,TRUE,TRUE,FALSE,TRUE,Phosphate-2,,['p1k_00864'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4094,1,TRUE,TRUE,FALSE,TRUE,Phosphate-2,,['p1k_00864'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
b4095,1,TRUE,TRUE,FALSE,TRUE,Phosphate-2,,['p1k_00864'],7,FALSE,basal,10,TRUE,0.3,FALSE,"[-1, 3]",0.2,0.2,TRUE,0.2,"[-4, 2]","[-4, 2]",TRUE,toss,42,100,100,100,0.6,0.6,0.4,0.1,100,FALSE,5,30,100
