"sample","iM","Val"
"p1k_00355","SoxS",-9.03221638252393
"p1k_00650","SoxS",-8.9466442358291
"p1k_00451","SoxS",-9.04218516917956
"p1k_00670","SoxS",-9.00402570497277
"p1k_00830","SoxS",-8.71487342265676
"p1k_00538","SoxS",-8.48001674175481
"p1k_00312","SoxS",-9.03777816067487
"p1k_00040","SoxS",-8.98302967159948
"p1k_00829","SoxS",-9.07355975283212
"p1k_00813","SoxS",-9.00072171888753
"p1k_00058","SoxS",-9.04260769329243
"p1k_00121","SoxS",-8.86102922956174
"p1k_00724","SoxS",-8.73938579876773
"p1k_00299","SoxS",-9.01149618187302
"p1k_00374","SoxS",-8.98657578471668
"p1k_00254","SoxS",-8.97439787324599
"p1k_00274","SoxS",-8.99587039650375
"p1k_00631","SoxS",-8.94428540895596
"p1k_00089","SoxS",-8.92570418615319
"p1k_00213","SoxS",-8.98641083039447
"p1k_00944","SoxS",-8.97971285833907
"p1k_00690","SoxS",-8.86728672952344
"p1k_00995","SoxS",-8.9810867268891
"p1k_00086","SoxS",-9.00974009995973
"p1k_00035","SoxS",-8.76114977256933
"p1k_00147","SoxS",-9.03315759134573
"p1k_00037","SoxS",-8.88140548749636
"p1k_00313","SoxS",-9.04992713220452
"p1k_00734","SoxS",-8.98882783118506
"p1k_00006","SoxS",-8.95540065271884
"p1k_00138","SoxS",-8.9366783854914
"p1k_00791","SoxS",-8.9686653951223
"p1k_00551","SoxS",-8.46605171149789
"p1k_00998","SoxS",-8.94376821567687
"p1k_00524","SoxS",-8.61058881325104
"p1k_00181","SoxS",-9.0483317813995
"p1k_00543","SoxS",-8.5817483333674
"p1k_00480","SoxS",-9.01145515790882
"p1k_00659","SoxS",-9.04277023582637
"p1k_00506","SoxS",-9.00480517425971
"p1k_00163","SoxS",-9.0155278307166
"p1k_00918","SoxS",-9.14692706916771
"p1k_00613","SoxS",-9.00200603434959
"p1k_00622","SoxS",-9.06357058912
"p1k_00101","SoxS",-8.98859147290711
"p1k_00782","SoxS",-9.04069549056915
"p1k_00323","SoxS",-9.07509428073837
"p1k_00219","SoxS",-9.01635065562981
"p1k_00591","SoxS",-8.54896942921269
"p1k_00934","SoxS",-8.94922573429357
"p1k_00405","SoxS",-9.00960200958879
"p1k_00322","SoxS",-9.05827563058703
"p1k_00654","SoxS",-8.98972068025153
"p1k_00314","SoxS",-9.05370568780904
"p1k_00694","SoxS",-9.05872791285008
"p1k_00740","SoxS",-8.92141450894571
"p1k_00186","SoxS",-9.05582581668252
"p1k_00248","SoxS",-8.95540367129478
"p1k_00871","SoxS",-8.98212539298731
"p1k_00122","SoxS",-8.85254292352053
"p1k_00112","SoxS",-8.92400307796567
"p1k_00558","SoxS",-8.64655548445388
"p1k_00781","SoxS",-9.05395040273459
"p1k_00424","SoxS",-8.9998459640787
"p1k_00651","SoxS",-8.93874488173717
"p1k_00843","SoxS",-8.68190172398649
"p1k_00542","SoxS",-8.5933757296109
"p1k_00567","SoxS",-8.37810953706863
"p1k_00818","SoxS",-9.01662341358837
"p1k_00802","SoxS",-9.0054863465348
"p1k_01008","SoxS",-8.98281670642247
"p1k_00972","SoxS",-8.95343446519216
"p1k_00434","SoxS",-9.06146574946432
